day,month,year,hour,min,sec,degree_lat,minute_lat,second_lat,direction_lat,degree_lon,minute_lon,second_lon,direction_lon,frame
26,OCT,2017,8,2,56,48,13,43,N,114,14,47,W,frame0200.png
26,OCT,2017,8,3,3,48,13,44,N,114,14,59,W,frame0400.png
26,OCT,2017,8,3,10,48,13,45,N,114,15,11,W,frame0600.png
26,OCT,2017,8,3,16,48,13,43,N,114,15,22,W,frame0800.png
26,OCT,2017,8,3,23,48,13,40,N,114,15,33,W,frame1000.png
26,OCT,2017,8,3,30,48,13,37,N,114,15,43,W,frame1200.png
26,OCT,2017,8,3,36,48,13,32,N,114,15,52,W,frame1400.png
26,OCT,2017,8,3,43,48,13,26,N,114,15,58,W,frame1600.png
26,OCT,2017,8,3,56,48,13,19,N,114,16,1,W,frame1800.png
26,OCT,2017,8,3,59,48,13,12,N,114,15,59,W,frame2000.png
26,OCT,2017,8,4,3,48,13,6,N,114,15,55,W,frame2200.png
26,OCT,2017,8,4,10,48,13,0,N,114,15,49,W,frame2400.png
26,OCT,2017,8,4,16,48,12,57,N,114,15,40,W,frame2600.png
26,OCT,2017,8,4,23,48,12,56,N,114,15,30,W,frame2800.png
26,OCT,2017,8,4,29,48,12,57,N,114,15,20,W,frame3000.png
26,OCT,2017,8,4,36,48,13,2,N,114,15,11,W,frame3200.png
26,OCT,2017,8,4,43,48,13,8,N,114,15,5,W,frame3400.png
26,OCT,2017,8,4,50,48,13,15,N,114,15,3,W,frame3600.png
26,OCT,2017,8,4,56,48,13,23,N,114,15,4,W,frame3800.png
26,OCT,2017,8,5,3,48,13,31,N,114,15,9,W,frame4000.png
26,OCT,2017,8,5,9,48,13,33,N,114,15,17,W,frame4200.png
26,OCT,2017,8,5,16,48,13,41,N,114,15,27,W,frame4400.png
26,OCT,2017,8,5,23,48,13,42,N,114,15,38,W,frame4600.png
26,OCT,2017,8,5,30,48,13,41,N,114,15,49,W,frame4800.png
26,OCT,2017,8,5,36,48,13,38,N,114,15,59,W,frame5000.png
26,OCT,2017,8,5,43,48,13,34,N,114,16,8,W,frame5200.png
26,OCT,2017,8,5,50,48,13,31,N,114,16,18,W,frame5400.png
26,OCT,2017,8,5,56,48,13,27,N,114,16,28,W,frame5600.png
26,OCT,2017,8,6,3,48,13,24,N,114,16,38,W,frame5800.png
26,OCT,2017,8,6,10,48,13,20,N,114,16,48,W,frame6000.png
26,OCT,2017,8,6,17,48,13,17,N,114,16,59,W,frame6200.png
26,OCT,2017,8,6,23,48,13,13,N,114,17,9,W,frame6400.png
26,OCT,2017,8,6,30,48,13,9,N,114,17,19,W,frame6600.png
26,OCT,2017,8,6,37,48,13,6,N,114,17,29,W,frame6800.png
26,OCT,2017,8,6,43,48,13,3,N,114,17,40,W,frame7000.png
26,OCT,2017,8,6,50,48,12,58,N,114,17,50,W,frame7200.png
26,OCT,2017,8,6,57,48,12,52,N,114,17,57,W,frame7400.png
26,OCT,2017,8,7,3,48,12,45,N,114,18,0,W,frame7600.png
